name;geom
ahn2_02gz1_11;polygon((200000.0 602500.0, 201000.0 602500.0, 201000.0 602613.45, 200000.0 602613.45, 200000.0 602500.0))
ahn2_02gz1_12;polygon((201000.01 602500.0, 202000.0 602500.0, 202000.0 603152.25, 201000.01 603152.25, 201000.01 602500.0))
ahn2_02gz1_13;polygon((202000.0 602500.0, 203000.0 602500.0, 203000.0 603657.47, 202000.0 603657.47, 202000.0 602500.0))
ahn2_02gz1_14;polygon((203000.0 602500.0, 203634.26 602500.0, 203634.26 602597.12, 203000.0 602597.12, 203000.0 602500.0))
ahn2_02gz1_16;polygon((200000.0 601250.0, 201000.0 601250.0, 201000.0 602500.0, 200000.0 602500.0, 200000.0 601250.0))
ahn2_02gz1_17;polygon((201000.0 601250.0, 202000.0 601250.0, 202000.0 602500.0, 201000.0 602500.0, 201000.0 601250.0))
ahn2_02gz1_18;polygon((202000.0 601250.0, 203000.0 601250.0, 203000.0 602500.0, 202000.0 602500.0, 202000.0 601250.0))
ahn2_02gz1_19;polygon((203000.0 601250.0, 204000.0 601250.0, 204000.0 602500.0, 203000.0 602500.0, 203000.0 601250.0))
ahn2_02gz1_20;polygon((204000.0 601250.0, 205000.0 601250.0, 205000.0 602443.76, 204000.0 602443.76, 204000.0 601250.0))
ahn2_02gz1_21;polygon((200000.0 600000.0, 201000.0 600000.0, 201000.0 601250.0, 200000.0 601250.0, 200000.0 600000.0))
ahn2_02gz1_22;polygon((201000.0 600000.0, 202000.0 600000.0, 202000.0 601250.0, 201000.0 601250.0, 201000.0 600000.0))
ahn2_02gz1_23;polygon((202000.0 600000.0, 203000.0 600000.0, 203000.0 601250.0, 202000.0 601250.0, 202000.0 600000.0))
ahn2_02gz1_24;polygon((203000.0 600000.0, 204000.0 600000.0, 204000.0 601250.0, 203000.0 601250.0, 203000.0 600000.0))
ahn2_02gz1_25;polygon((204000.0 600000.0, 205000.0 600000.0, 205000.0 601250.0, 204000.0 601250.0, 204000.0 600000.0))
ahn2_02gz2_11;polygon((205521.39 602500.0, 206000.0 602500.0, 206000.0 602739.77, 205521.39 602739.77, 205521.39 602500.0))
ahn2_02gz2_12;polygon((206000.01 602500.01, 206999.99 602500.01, 206999.99 603242.16, 206000.01 603242.16, 206000.01 602500.01))
ahn2_02gz2_13;polygon((207000.01 602500.01, 207999.99 602500.01, 207999.99 603491.86, 207000.01 603491.86, 207000.01 602500.01))
ahn2_02gz2_14;polygon((208000.01 602500.01, 208999.99 602500.01, 208999.99 603404.45, 208000.01 603404.45, 208000.01 602500.01))
ahn2_02gz2_15;polygon((209000.01 602500.01, 209999.99 602500.01, 209999.99 603269.67, 209000.01 603269.67, 209000.01 602500.01))
ahn2_02gz2_16;polygon((205000.0 601250.0, 206000.0 601250.0, 206000.0 602500.0, 205000.0 602500.0, 205000.0 601250.0))
ahn2_02gz2_17;polygon((206000.01 601250.0, 206999.99 601250.0, 206999.99 602500.0, 206000.01 602500.0, 206000.01 601250.0))
ahn2_02gz2_18;polygon((207000.0 601250.0, 208000.0 601250.0, 208000.0 602500.0, 207000.0 602500.0, 207000.0 601250.0))
ahn2_02gz2_19;polygon((208000.0 601250.0, 209000.0 601250.0, 209000.0 602500.0, 208000.0 602500.0, 208000.0 601250.0))
ahn2_02gz2_20;polygon((209000.0 601250.0, 210000.0 601250.0, 210000.0 602500.0, 209000.0 602500.0, 209000.0 601250.0))
ahn2_02gz2_21;polygon((205000.0 600000.0, 206000.0 600000.0, 206000.0 601250.0, 205000.0 601250.0, 205000.0 600000.0))
ahn2_02gz2_22;polygon((206000.01 600000.01, 206999.99 600000.01, 206999.99 601249.99, 206000.01 601249.99, 206000.01 600000.01))
ahn2_02gz2_23;polygon((207000.0 600000.0, 208000.0 600000.0, 208000.0 601250.0, 207000.0 601250.0, 207000.0 600000.0))
ahn2_02gz2_24;polygon((208000.0 600000.0, 209000.0 600000.0, 209000.0 601250.0, 208000.0 601250.0, 208000.0 600000.0))
ahn2_02gz2_25;polygon((209000.0 600000.0, 210000.0 600000.0, 210000.0 601250.0, 209000.0 601250.0, 209000.0 600000.0))
ahn2_02hz1_07;polygon((211000.0 603750.0, 212000.0 603750.0, 212000.0 604490.15, 211000.0 604490.15, 211000.0 603750.0))
ahn2_02hz1_08;polygon((212000.0 603750.0, 213000.0 603750.0, 213000.0 604999.83, 212000.0 604999.83, 212000.0 603750.0))
ahn2_02hz1_09;polygon((213000.0 603750.0, 214000.0 603750.0, 214000.0 604674.57, 213000.0 604674.57, 213000.0 603750.0))
ahn2_02hz1_11;polygon((210000.0 602500.0, 211000.0 602500.0, 211000.0 603750.0, 210000.0 603750.0, 210000.0 602500.0))
ahn2_02hz1_12;polygon((211000.0 602500.0, 212000.0 602500.0, 212000.0 603750.0, 211000.0 603750.0, 211000.0 602500.0))
ahn2_02hz1_13;polygon((212000.0 602500.0, 213000.0 602500.0, 213000.0 603750.0, 212000.0 603750.0, 212000.0 602500.0))
ahn2_02hz1_14;polygon((213000.0 602500.0, 214000.0 602500.0, 214000.0 603750.0, 213000.0 603750.0, 213000.0 602500.0))
ahn2_02hz1_15;polygon((214000.0 602500.0, 215000.0 602500.0, 215000.0 603750.0, 214000.0 603750.0, 214000.0 602500.0))
ahn2_02hz1_16;polygon((210000.0 601250.0, 211000.0 601250.0, 211000.0 602500.0, 210000.0 602500.0, 210000.0 601250.0))
ahn2_02hz1_17;polygon((211000.0 601250.0, 212000.0 601250.0, 212000.0 602500.0, 211000.0 602500.0, 211000.0 601250.0))
ahn2_02hz1_18;polygon((212000.0 601250.0, 213000.0 601250.0, 213000.0 602500.0, 212000.0 602500.0, 212000.0 601250.0))
ahn2_02hz1_19;polygon((213000.0 601250.0, 214000.0 601250.0, 214000.0 602500.0, 213000.0 602500.0, 213000.0 601250.0))
